the_geom,OBJECTID,CIV,PK_ID_ELEM,DESC_ELEME,LONGITUD_H,ANCHO_ELEM,AREA_ELEME,TIPO_SUPER,FECHA_REGI,LOCALIDAD,UPZ,BARRIO,TIPO_MALLA,EJE_VIAL,DESDE,HASTA,SECCION_VI,DESC_ORIGE,DESC_PROGR,DESC_ESTRA,FECHA_VISI,ACTIVIDAD,ACTIVIDAD_,INTERVENCI,ESTADO_INT,FECHA_TERM,VIGENCIA,SELLO_FISU,OBSERVACIO,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-74.12480369299999 4.599060037000015, -74.12482792700001 4.5990309910000065, -74.12483911200002 4.599017585000013, -74.124920965 4.598917658999994, -74.12493637900002 4.598900075000017, -74.12506144600002 4.598748175000026, -74.12507319100001 4.598733650999975, -74.12511321900001 4.598771426999974, -74.12507263399999 4.5988214089999815, -74.12506918399998 4.598825010999974, -74.12499451000002 4.598915049000027, -74.124949888 4.598968720000016, -74.124875143 4.59906059399998, -74.12484298099997 4.5990981269999915, -74.12480369299999 4.599060037000015)))",517,"16,003,723","185,359",Calzada,46.91,6.07999992,285.01,2,,PUENTE ARANDA,MUZU,AUTOPISTA SUR,LO,KR 50A,CL 35 S,CL 36 S,10,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,08/16/2018 12:00:00 AM,PASF,PABA,2,,03/26/2019 12:00:00 AM,"2,019",0,Requiere MP. Posible daño en redes. Tránsito medio de vehículos. Zona residencial.,0.000000023208810179,0.000957052741917
"MULTIPOLYGON (((-74.08861970700002 4.682453366999994, -74.08858167699998 4.68241071, -74.08858951100002 4.682404216000009, -74.08866680300002 4.682327389000022, -74.08867715000002 4.682321033999984, -74.08873240999998 4.682247806000021, -74.08882603699999 4.682104100000004, -74.088906157 4.6819801679999955, -74.08915619999999 4.681618613000012, -74.089163772 4.681602553999994, -74.08917241900002 4.681581825000023, -74.08917902399998 4.681563738000023, -74.08917908000001 4.681537043999981, -74.08917236100001 4.681510720999995, -74.089162074 4.681489386999999, -74.08922757099998 4.681564576000028, -74.08931161700002 4.681661059000021, -74.08929812999997 4.681654540000011, -74.08928637499997 4.681651613999975, -74.08927493200002 4.681650035000018, -74.08926028799999 4.681651250000016, -74.08925071499999 4.6816530849999936, -74.08923941 4.681656547999978, -74.08923896099998 4.681656686999986, -74.089229811 4.681661205000012, -74.08921840699998 4.6816738449999775, -74.08921059300002 4.681684720000021, -74.08911436199998 4.6818284240000025, -74.08898638300002 4.682020924000028, -74.08893098099998 4.682104110000012, -74.088804832 4.682292091000022, -74.088730354 4.6824033120000195, -74.08872627099998 4.682411431999981, -74.08872063899997 4.682420471, -74.08866678599998 4.682506342000011, -74.08861970700002 4.682453366999994)))",518,"10,008,318","157,774",Calzada,119.64,10.14999962,"1,214.81",2,,ENGATIVA,LAS FERIAS,LAS FERIAS OCCIDENTAL,LO,TV 69BBIS,AC 72,KR 69B,10,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,03/15/2019 12:00:00 AM,BAPASFSI,PABA,2,,09/17/2019 12:00:00 AM,"2,019",560,"Zona residencial y comercial, vehículos C2, pavimento flexible el cual requiere actividades de parcheo, bacheo y sello de fisuras, tránsito vehícular alto , LO V8.",0.000000098934504038,0.00257582286434
"MULTIPOLYGON (((-74.11936784199997 4.5992894770000134, -74.11941476200002 4.599239287999978, -74.11946590899998 4.599286834999987, -74.11940846800002 4.599349053000026, -74.119216961 4.599554266999974, -74.11920387599997 4.599568056999999, -74.11918643799999 4.599586433000013, -74.11918494499997 4.599588008000012, -74.119174235 4.599599293999972, -74.11912233700002 4.599549707999984, -74.11916523500003 4.599501793999991, -74.11917889 4.5994875989999855, -74.119365469 4.599293047999993, -74.11936784199997 4.5992894770000134)))",519,"16,003,644","600,937",Calzada,47.3,7.92999983,374.95,2,,PUENTE ARANDA,MUZU,AUTOPISTA MUZU,LO,KR 39B,CL 28A S,CL 29 S,11,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,08/16/2018 12:00:00 AM,PASI,PABA,2,,03/04/2019 12:00:00 AM,"2,019",0,Requiere MP. Tránsito bajo de vehículos. Zona residencial.,0.0000000305323365535,0.000995614638679
"MULTIPOLYGON (((-74.10653041299997 4.674020653000014, -74.10652244699997 4.674001638999982, -74.10651928099998 4.673998955999991, -74.10651674600001 4.673996412999998, -74.10636585100002 4.6738456269999915, -74.106348045 4.673827829999993, -74.10629110600001 4.673770836000017, -74.10627062600003 4.6737503549999815, -74.10622128900002 4.673701058000006, -74.10620671999999 4.673689756999977, -74.106161681 4.67364887399998, -74.10622358900002 4.673576903000026, -74.10626092199999 4.673613843999988, -74.106263878 4.673621965999985, -74.10626577800002 4.673625565999998, -74.10626725600002 4.67362916899998, -74.10627555999997 4.673642728000004, -74.10633453899999 4.673701488000006, -74.10637395200001 4.67374068700002, -74.10646713599999 4.6738335580000125, -74.10650563399997 4.673871838000025, -74.10657157999998 4.673937448000004, -74.10658368600002 4.673950090000005, -74.10659558100002 4.673953762999986, -74.10662866000001 4.6739860530000215, -74.10656568899998 4.67405850099999, -74.10653041299997 4.674020653000014)))",282,"10,009,264","159,347",Calzada,63.75,9.18999958,586.08,2,,ENGATIVA,SANTA CECILIA,NORMANDIA OCCIDENTAL,LO,CL 55,KR 72B,KR 73,9,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,09/05/2018 12:00:00 AM,SFSI,SF,2,,05/02/2019 12:00:00 AM,"2,019",220,"zona escolar, vehículos C2",0.0000000477298712305,0.00134697518913
"MULTIPOLYGON (((-74.07379186999998 4.738804175000041, -74.07380289399998 4.738791112000058, -74.07384844845916 4.73874587224591, -74.07388974270356 4.738696713020051, -74.07392644099997 4.73864403400006, -74.07401406299994 4.738687524000056, -74.07400212099998 4.738697117000072, -74.07397955499994 4.7387115820000645, -74.07397522099996 4.738715429000025, -74.07394298299994 4.738744823000047, -74.07389571899995 4.738780802000065, -74.07389355999999 4.738782445000027, -74.07384030699995 4.738836777000074, -74.07383573799997 4.738841438000066, -74.07382626099997 4.738833388000046, -74.07379186999998 4.738804175000041)))",798,"11,005,411","169,531",Calzada,24.62,7.51000023,183.72,2,,SUBA,CASA BLANCA SUBA,ESCUELA DE CARABINEROS,LO,KR 76,CL 146D,CL 146F,10,OTRO,IMV-PR-003,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,02/18/2019 12:00:00 AM,PASF,PABA,2,,02/07/2019 12:00:00 AM,"2,019",265,,0.000000015051111967,0.000601338916123
"MULTIPOLYGON (((-74.11917440799994 4.5952293060000216, -74.11915903699997 4.595147111000074, -74.11909458199995 4.594796632000055, -74.1190936143586 4.594786325916439, -74.11909107717642 4.5947762902602065, -74.11908703051589 4.594766762604266, -74.11908157017307 4.594757968495689, -74.11907482541004 4.594750116116372, -74.11906695589477 4.594743391354762, -74.11905814792135 4.594737953405348, -74.11904860999994 4.594733931000064, -74.11910865399994 4.594721038000046, -74.11915462999997 4.594711166000025, -74.11916919899994 4.594708057000048, -74.11916250639565 4.59471168241327, -74.11915651147395 4.594716372347911, -74.11915138186485 4.594721995663993, -74.11914726100254 4.594728395122323, -74.11914426411457 4.594735391781215, -74.11914247499993 4.594742790000055, -74.11914220899996 4.59474786800007, -74.11914285499995 4.594755701000054, -74.11914408899997 4.594770651000033, -74.11914415299998 4.594771440000045, -74.11914649799996 4.594779860000074, -74.11921453099995 4.595146190000038, -74.11922780199995 4.595205934000035, -74.11923227599993 4.595213632000026, -74.11923862419418 4.595221350914686, -74.11924620313692 4.5952278655782175, -74.11925478784806 4.595232982603567, -74.11926412349143 4.595236550092412, -74.1192739329395 4.595238462144251, -74.11928392499993 4.5952386620000425, -74.11921133799996 4.595251971000039, -74.11914509799993 4.595264117000056, -74.11915132689784 4.595261364482736, -74.11915706856423 4.595257702681581, -74.11916219124353 4.595253215624927, -74.11916657738425 4.595248006278482, -74.1191701263364 4.595242194182533, -74.11917275666121 4.595235912708819, -74.11917440799994 4.5952293060000216)))",283,"16,004,345","186,096",Calzada,59.82,6.46000004,384.92,2,,PUENTE ARANDA,MUZU,AUTOPISTA MUZU ORIENTAL,LO,CL 30 S,TV 35,TV 35BIS,10,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,10/02/2018 12:00:00 AM,SICC,CC,2,,06/19/2019 12:00:00 AM,"2,019",0,"Zona residencial, vehículos C2.",0.0000000314753654875,0.00142074109339
"MULTIPOLYGON (((-74.09972569299998 4.642961103999994, -74.09966716500003 4.6428722840000205, -74.099253627 4.642221296999992, -74.09931832299998 4.642179919, -74.09932266300001 4.642186676999984, -74.099444282 4.642376082999988, -74.09944830699999 4.642382349999991, -74.099502175 4.642466243000001, -74.09950628799999 4.6424726490000126, -74.09959231099998 4.642606617000013, -74.09959582200003 4.642612084000007, -74.099749051 4.6428507169999875, -74.09978675100001 4.642909428999985, -74.09980762700002 4.642941941000004, -74.09983257900001 4.642980799999975, -74.099766725 4.6430233730000054, -74.09974125100001 4.642984714000022, -74.09972569299998 4.642961103999994)))",284,"13,000,981","600,443",Calzada,105.42,8.73999977,921.5,2,,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,CIUDAD SALITRE NOR-ORIENTAL,CM,CL 24A,KR 54,KR 56,9,OTRO,IMV-PR-003,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,05/20/2019 12:00:00 AM,PASF,PABA,2,,05/30/2019 12:00:00 AM,"2,019",0,,0.0000000750439432975,0.00205915880198
"MULTIPOLYGON (((-74.12609027999997 4.575000891000059, -74.12610193899997 4.574972179000042, -74.12610320637395 4.57496986594609, -74.12610409599995 4.5749673830000575, -74.12624702499994 4.574590561000036, -74.12624880899995 4.5745781410000745, -74.12624587299996 4.574562322000077, -74.12629455699994 4.5747235430000615, -74.12629020599996 4.574714774000029, -74.12628125299995 4.57470870800006, -74.12627046099993 4.57470814800007, -74.12626423499995 4.574711480000076, -74.12626093899998 4.574713246000044, -74.12625537199995 4.57472253800006, -74.12623853899998 4.574765137000043, -74.12615076599997 4.574987264000072, -74.12613878099995 4.575017596000066, -74.12609027999997 4.575000891000059)))",285,"18,007,917","91,015,451",Calzada,43.36,6.42999983,278.78,2,,RAFAEL URIBE URIBE,QUIROGA,SANTA LUCIA,LO,KR 22A,DG 44C S,CL 46 S,8,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,07/31/2018 12:00:00 AM,PASF,PABA,2,,03/27/2019 12:00:00 AM,"2,019",0,"Zona residencial, Presenta Pulimento de agregados de severidad baja con buenas condiciones de transitabilidad.",0.0000000227007214305,0.0010579279587
"MULTIPOLYGON (((-74.09669404300001 4.7015937379999855, -74.09668900499997 4.701662111000019, -74.09664788999999 4.701660819999972, -74.09650925900002 4.701656626999977, -74.09629843900001 4.7016497100000265, -74.096300698 4.70158165700002, -74.09648347699999 4.701586996999993, -74.09648557899999 4.701587076999999, -74.09651104099999 4.701588056999981, -74.09653791800002 4.701589091000017, -74.096626625 4.7015915659999905, -74.09669404300001 4.7015937379999855)))",286,"10,005,199","162,370",Calzada,43.53,7.57000017,329.7,2,,ENGATIVA,MINUTO DE DIOS,AUTOPISTA MEDELLIN,LO,DG 82,CL 81B,KR 81A,10,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,10/31/2018 12:00:00 AM,CCSI,CC,2,,08/29/2019 12:00:00 AM,"2,019",0,"ona residencia. Tráfico medio, con paso de vehículos pesados tipo camión.",0.000000026851215691,0.000920944688921
"MULTIPOLYGON (((-74.11291499999999 4.718922986999986, -74.11288127400002 4.718870255000013, -74.112896548 4.718879295000022, -74.112896621 4.718879311000023, -74.112914004 4.718882898000004, -74.11292421000002 4.718881838000016, -74.112931672 4.71888106199998, -74.112940612 4.7188770380000165, -74.11381882400002 4.718316147999985, -74.113832199 4.718302590999997, -74.11383891899999 4.718288560000019, -74.113840858 4.718284512000025, -74.11384198500002 4.718275940000012, -74.11384353400001 4.718264173000023, -74.11387466000002 4.718311690999997, -74.11391075 4.718366788000026, -74.11389505400001 4.718357749000006, -74.11388997 4.718356712000002, -74.11388316400001 4.718355324000015, -74.11387738600001 4.718354146000024, -74.113873023 4.718354781000016, -74.11385957800002 4.718356828000026, -74.11385218700002 4.718359582000005, -74.11297136799999 4.7189199769999846, -74.11296383799998 4.718925414000012, -74.11295806599998 4.718931698000006, -74.11295804999997 4.7189317200000005, -74.112952081 4.718939820000003, -74.112949335 4.7189461759999745, -74.11294672999998 4.718954296999983, -74.112946508 4.718957455999998, -74.11294609599997 4.718963336999991, -74.11294658899999 4.718972376000011, -74.11291499999999 4.718922986999986)))",287,"10,000,482","163,061",Calzada,126.17,6.13000011,773.83,2,,ENGATIVA,BOLIVIA,BOLIVIA,LO,KR 109,CL 82,CL 83,11,PETICIONARIO,Misionalidad,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,10/18/2018 12:00:00 AM,BASICC,CC,2,,04/16/2019 12:00:00 AM,"2,019",0,Tránsito típico de zona residencial y colegios.,0.0000000630246133915,0.00257617081433
"MULTIPOLYGON (((-74.05389951999996 4.668673216000059, -74.0539022587837 4.668670114260073, -74.05390446302859 4.668666612398889, -74.05390607533879 4.6686628016006715, -74.05390705373175 4.668658781093925, -74.05390737273132 4.668654655567709, -74.0539070240311 4.668650532445658, -74.05390601671087 4.6686465190888065, -74.05390437699998 4.668642720000037, -74.05390338899997 4.66864165100003, -74.05380865799998 4.668539143000032, -74.05366597199998 4.668384730000071, -74.05360946499997 4.668324854000048, -74.05360886999995 4.668324212000073, -74.05358436899996 4.668298256000071, -74.05345632999996 4.668162606000067, -74.05349664699997 4.66812438900007, -74.05361766899995 4.66825125400004, -74.05393640299997 4.668589692000069, -74.05394237499996 4.668596032000039, -74.05394383491708 4.66859847355608, -74.05394568225199 4.66860063686548, -74.05394786506884 4.6686024611090415, -74.05395032199993 4.668603895000047, -74.0539529062818 4.6686048738834725, -74.05395561557914 4.668605418340444, -74.05395837739245 4.668605513801545, -74.05396111781685 4.668605157712279, -74.0539637635199 4.66860435960143, -74.0539662437038 4.66860314082607, -74.05396849199997 4.668601534000061, -74.05397020355377 4.668599866401348, -74.05397166399996 4.668597975000068, -74.05395450399999 4.668631466000022, -74.05395099599997 4.66863831400002, -74.05394614799997 4.668647776000058, -74.05394218499998 4.668655511000054, -74.05393291599995 4.668673603000059, -74.05392609099994 4.6686869230000525, -74.05389951999996 4.668673216000059)))",365,"2,000,687","143,181",Calzada,75.96,6.48999977,493.03,2,,CHAPINERO,CHICO LAGO,EL RETIRO,CM,AC 82,KR 12A,CL 84BIS,4,OTRO,IMV-PR-003,INFRAESTRUCTURA Y GESTIÓN DEL TRANSITO,03/14/2019 12:00:00 AM,PA,PABA,2,,03/12/2019 12:00:00 AM,"2,019",0,,0.0000000401549816765,0.00155964893586
"MULTIPOLYGON (((-74.05177894199994 4.685731065000027, -74.05136857899998 4.685662789000048, -74.05115895199998 4.685627475000047, -74.05117280599995 4.685544524000022, -74.05118969399996 4.685547529000075, -74.05123273999999 4.685555472000033, -74.05137297899995 4.685578216000068, -74.05156951599997 4.685610197000074, -74.05167780699998 4.685627224000029, -74.05180018899995 4.685647932000052, -74.05191818299994 4.685667184000067, -74.05192521899994 4.685668875000033, -74.05193844499996 4.685670563000031, -74.05195016099998 4.685672058000023, -74.05195826499994 4.685673092000059, -74.05196198680537 4.685673045459046, -74.05196565799997 4.685672432000047, -74.05208127599997 4.6856846600000495, -74.05208366433146 4.685685738463285, -74.05208614299994 4.685686589000056, -74.05210076699996 4.685689018000062, -74.05209876399994 4.685699887000055, -74.05209872599994 4.685700113000053, -74.05208458499999 4.685782329000062, -74.05208375999996 4.6857871260000366, -74.05190288299997 4.685756787000059, -74.05190047699995 4.685756383000069, -74.0519005 4.685756108000021, -74.05190049200813 4.685755410029591, -74.05190039005512 4.685754719499231, -74.05190019599996 4.685754049000025, -74.05189982492686 4.685753247991382, -74.05189932231049 4.685752522259425, -74.05189870296549 4.685751893195148, -74.05189798514711 4.6857513793402585, -74.05189719001305 4.685750995840659, -74.05189634099997 4.685750754000026, -74.05189593599994 4.6857506880000415, -74.05188899499996 4.685749523000027, -74.05177894199994 4.685731065000027)))",367,"1,005,767","513,363",Calzada,104.18,9.61999989,990.04,2,,CHAPINERO,CHICO LAGO,CHICO NORTE III SECTOR,AR,AC 100,TV 18,AK 19,2,OTRO,IMV-PR-003,SITUACIONES IMPREVISTAS Y APOYO INTERINSTITUCIONAL,06/27/2019 12:00:00 AM,PA,PABA,2,,06/27/2019 12:00:00 AM,"2,019",0,,0.000000081648897528,0.00206454474937
