Segmentos PK_Calzada No.,Zonas,CIV,PK_ID,Estrategia,Programa,LOC. No.,Nombre Localidad,UPZ,Barrio,Eje Vial,Tramo Inicial,Tramo Final,Longitud Segmento (ML),"Ancho 
Segmento (ML)","Área
Segmento (m2)",Memorando Priorizaciòn,Km Carril Impacto   Km C,Km Lineal,Km Obra,Tipo Malla Vial,Tipo de Actividad,Tipo de Intervención,Fecha Inicio,Fecha Final,Estado Ejecucion,Mes Reporte,Fusion CIV,Fusion PK_ID,Grupo Contraloria,Ingeniero de Apoyo,Director de Obra / Residente
206,Zona 02,"13,000,848","2,058,074",Infraestructura y Gestión de Tránsito,Acuerdo 257/D,13,Teusaquillo,CIUDAD SALITRE ORIENTAL,CIUDAD SALITRE NOR-ORIENTAL,KR 59,AC 24,CL 24A,29,185,"5,365","2,01812E+13",2,0,0,MVL,Cambio de Carpeta,Mantenimiento,Sat Feb 02 00:00:00 COT 2019,Sun Feb 10 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Luis Marin/Ing.Andrea Torres
207,Zona 03,"14,000,053","183,757",Infraestructura y Gestión de Tránsito,IMV-PR-003,14,Martires,LA SABANA,SAMPER MENDOZA,KR 26,CL 23A,CL 24,"6,349",705,"4,476,045",Grupo Sigma,15,0,0,MVL,Parcheo,Mantenimiento,Fri Feb 08 00:00:00 COT 2019,Mon Feb 11 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
208,Zona 01,"11,001,955","169,232",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,BRITALIA,GRANADA NORTE,KR 54 A,CL 168A,CL 169,"3,937",587,"2,311,019","2,01812E+13",8,0,0,CML,Cambio de Carpeta,Mantenimiento,Wed Jan 02 00:00:00 COT 2019,Tue Feb 12 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Jeferson Carpio,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
209,Zona 02,"12,001,769","179,373",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,SAN FERNANDO,CL 70,KR 53,KR 54,"6,211",808,"5,018,488","2,01912E+13",17,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Tue Feb 12 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
210,Zona 02,"12,001,821","179,372",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,SAN FERNANDO,CL 70,KR 52,KR 53,"6,475",816,"52,836","2,01912E+13",18,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Tue Feb 12 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
211,Zona 01,"1,005,764","136,705",Infraestructura y Gestión de Tránsito,Misionalidad,1,Usaquen,USAQUEN,RINCON DEL CHICO,KR 13,CL 102,CL 103,"10,779",889,"9,582,531","2,01601E+13",32,0,0,CML,Parcheo/Sello Fisuras,Mantenimiento,Mon Jan 28 00:00:00 COT 2019,Tue Feb 12 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
212,Zona 03,"14,001,774","530,819",Infraestructura y Gestión de Tránsito,IMV-PR-003,14,Martires,LA SABANA,FLORIDA,TV 28,CL 24,AC 25,"11,353",65,"737,945",Grupo Sigma,25,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed Feb 06 00:00:00 COT 2019,Tue Feb 12 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
213,Zona 02,"13,000,848","181,896",Infraestructura y Gestión de Tránsito,Acuerdo 257/D,13,Teusaquillo,CIUDAD SALITRE ORIENTAL,CIUDAD SALITRE NOR-ORIENTAL,KR 59,AC 24,CL 24A,126,"1,166","146,916","2,01812E+13",49,0,0,MVL,Cambio de Carpeta,Mantenimiento,Fri Feb 01 00:00:00 COT 2019,Tue Feb 12 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Luis Marin/Ing.Andrea Torres
214,Zona 04,"19,004,896","450,186",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,ARBORIZADORA,EL CHIRCAL SUR,CL 59 S,KR 22F,TV 22FBIS,"9,551",702,"6,704,802","2,01812E+13",22,0,0,CML,Cambio de Carpeta Parcial,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Felipe Rodriguez,Ing. Manuel Avila/Ing.Samuel Sanchez
215,Zona 04,"19,004,956","450,291",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,ARBORIZADORA,EL CHIRCAL SUR,CL 59 S,KR 22 B BIS,KR 22 B BIS,"1,223",693,"847,539","2,01812E+13",3,0,0,CML,Cambio de Carpeta,Mantenimiento,Fri Feb 01 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Felipe Rodriguez,Ing. Manuel Avila/Ing.Samuel Sanchez
216,Zona 04,"19,013,048","91,014,854",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,ARBORIZADORA,EL CHIRCAL SUR,CL 59 S,KR 22B,KR 22BBIS,"3,829",703,"2,691,787","2,01812E+13",9,0,0,CML,Cambio de Carpeta,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Felipe Rodriguez,Ing. Manuel Avila/Ing.Samuel Sanchez
217,Zona 02,"12,000,169","180,116",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ANDES,LOS ANDES,CL 94,KR 67,KR 67A,53,822,"43,566","2,01812E+13",15,0,0,CML,Cambio de Carpeta,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Luis Marin/Ing.Andrea Torres
218,Zona 02,"12,000,177","180,115",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ANDES,LOS ANDES,CL 94,KR 65A,KR 67,"1,086",689,"748,254","2,01812E+13",25,0,0,CML,Cambio de Carpeta Parcial,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Luis Marin/Ing.Andrea Torres
219,Zona 01,"11,006,504","169,398",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,11,Suba,CASA BLANCA SUBA,ESCUELA DE CARABINEROS,KR 76,TV 25,CL 146,377,691,"260,507",Grupo Sigma,74,0,"380,711,429",MVA,Parcheo,Mantenimiento,Fri Feb 01 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
220,Zona 03,"14,000,100","183,852",Infraestructura y Gestión de Tránsito,IMV-PR-003,14,Martires,LA SABANA,SAMPER MENDOZA,CL 22B,KR 25,KR 26,909,801,"728,109",Grupo Sigma,24,0,0,MVL,Parcheo,Mantenimiento,Mon Feb 11 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
221,Zona 02,"12,001,798","178,130",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,POPULAR MODELO,KR 57,CL 67,CL 67A,"5,189",713,"3,699,757","2,01912E+13",12,0,0,MVL,Parcheo,Mantenimiento,Tue Feb 12 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
222,Zona 02,"12,001,696","179,429",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,SAN FERNANDO,CL 70A,KR 53,KR 54,631,824,"519,944","2,01912E+13",17,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Thu Feb 07 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
223,Zona 02,"12,001,729","178,239",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,SAN FERNANDO,KR 54,CL 70,CL 70A,"10,304",798,"8,222,592","2,01912E+13",27,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Tue Feb 05 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
224,Zona 01,"11,005,828","169,524",Infraestructura y Gestión de Tránsito,IMV-PR-003,11,Suba,CASA BLANCA SUBA,ESCUELA DE CARABINEROS,KR 76,CL 146,CL 146A,"6,033",678,"4,090,374",Grupo Sigma,14,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Tue Feb 05 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
225,Zona 03,"14,000,054","183,893",Infraestructura y Gestión de Tránsito,IMV-PR-003,14,Martires,LA SABANA,SAMPER MENDOZA,CL 23 A,KR 26,AK 27,"9,594",578,"5,545,332",Grupo Sigma,18,0,0,MVL,Parcheo,Mantenimiento,Mon Feb 11 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
226,Zona 03,"14,000,122","183,675",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,14,Martires,LA SABANA,PALOQUEMAO,AC 22,KR 25,AK 27,"7,796","1,118","8,715,928",Grupo Sigma,25,0,"43,714,286",MVA,Parcheo,Mantenimiento,Wed Feb 13 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
227,Zona 05,"7,007,016","367,759",Infraestructura y Gestión de Tránsito,Misionalidad,7,Bosa,BOSA CENTRAL,JOSE MARIA CARBONEL,CL 71B SUR,KR 77M,KR 78A,100,6,600,"2,01812E+13",2,0,0,MVL,Cambio de Carpeta,Mantenimiento,Tue Feb 05 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Karen Zarate,Ing. Gustavo Velandia/Ing.Elena Alvarado
228,Zona 03,"14,001,658","182,668",Infraestructura y Gestión de Tránsito,Misionalidad,14,Martires,SANTA ISABEL,SANTA ISABEL SUR,KR 27A,CL 8 SUR,CL 1,"5,047",757,"3,820,579","2,01812E+13",13,0,0,MVL,Cambio de Carpeta,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Karen Zarate,Ing. Gustavo Velandia/Nelson Duitama
229,Zona 05,"7,006,811","367,226",Infraestructura y Gestión de Tránsito,Misionalidad,7,Bosa,BOSA CENTRAL,JOSE MARIA CARBONEL,CL 71B SUR,KR 78A,KR 78C,"1,192",599,"714,008","2,01812E+13",24,0,0,MVL,Cambio de Carpeta,Mantenimiento,Mon Feb 04 00:00:00 COT 2019,Wed Feb 13 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Karen Zarate,Ing. Gustavo Velandia/Ing.Elena Alvarado
230,Zona 04,"19,005,696","451,482",Barrios sin Infraestructura de Servicios Públicos,Misionalidad,19,Ciudad Bolivar,SAN FRANCISCO,EL SATELITE,CL 63 S,KR 22 A,KR 22 B,53,726,"38,478","2,01712E+13",13,0,0,CML,Rehabilitacion Rigido,Rehabilitación,Tue Jan 08 00:00:00 COT 2019,Thu Feb 14 00:00:00 COT 2019,Terminado,Febrero,0,0,Rehabilitación,Felipe Rodriguez,Ing. Manuel Avila/Ing. Ramiro Robles
231,Zona 01,"1,004,038","138,010",Infraestructura y Gestión de Tránsito,Misionalidad,1,Usaquen,LOS CEDROS,EL CONTADOR,KR 16,AC 134,CL 134A,"1,021",699,"713,679","2,01912E+13",24,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Wed Jan 30 00:00:00 COT 2019,Thu Feb 14 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Angel Ricardo Ibagon
232,Zona 01,"11,011,028","166,920",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,LA ALHAMBRA,MONACO,TV 54,KR 53,CL 114,"22,285",787,"17,538,295","2,01812E+13",58,0,0,CML,Cambio de Carpeta,Mantenimiento,Mon Jan 28 00:00:00 COT 2019,Thu Feb 14 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Jeferson Carpio,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
233,Zona 03,"14,001,806","91,020,491",Infraestructura y Gestión de Tránsito,IMV-PR-003,14,Martires,LA SABANA,FLORIDA,KR 27B,DG 24BIS,TV 28,"1,411",623,"879,053",Grupo Sigma,3,0,0,MVL,Parcheo,Mantenimiento,Thu Feb 14 00:00:00 COT 2019,Thu Feb 14 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
234,Zona 04,"6,001,916","325,673",Infraestructura y Gestión de Tránsito,Misionalidad,6,Tunjuelito,VENECIA,SAN VICENTE FERRER,CL 53 S,KR 33,KR 34,"10,472",635,"664,972","2,01812E+13",22,0,0,MVL,Cambio de Carpeta,Mantenimiento,Wed Jan 30 00:00:00 COT 2019,Thu Feb 14 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Felipe Rodriguez,Ing. Manuel Avila/Ing.Samuel Sanchez
235,Zona 02,"12,001,702","178,030",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,POPULAR MODELO,KR 57B,CL 67A,CL 67ABIS,"4,803",608,"2,920,224","2,01912E+13",1,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Fri Feb 08 00:00:00 COT 2019,Thu Feb 14 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
236,Zona 02,"13,000,135","513,312",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,13,Teusaquillo,PARQUE SIMON BOLIVAR - CAN,EL SALITRE,AC 53,AK 60,KR 66A,"54,106","1,065","5,762,289",Grupo Sigma,165,0,"29,771,429",MVA,Parcheo,Mantenimiento,Fri Feb 15 00:00:00 COT 2019,Fri Feb 15 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
237,Zona 02,"12,001,651","178,240",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,SAN FERNANDO,KR 54,CL 70A,CL 70C,"9,666",8,"77,328","2,01912E+13",26,0,0,MVL,Parcheo,Mantenimiento,Wed Feb 06 00:00:00 COT 2019,Fri Feb 15 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
238,Zona 02,"12,002,520","179,070",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ALCAZARES,QUINTA MUTIS,CL 63 DBIS,KR 27,KR 27A,"5,448",748,"4,075,104","2,01912E+13",14,0,0,MVL,Parcheo,Mantenimiento,Thu Feb 14 00:00:00 COT 2019,Fri Feb 15 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
239,Zona 01,"11,011,747","91,019,845",Infraestructura y Gestión de Tránsito,Acuerdo 257/D,11,Suba,SAN JOSE DE BAVARIA,MIRANDELA,CL 185,KR 51,KR 54D,"2,499",534,"1,334,466","2,01601E+13",4,0,0,CML,Cambio de Carpeta,Mantenimiento,Sat Feb 16 00:00:00 COT 2019,Sat Feb 16 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Adriana Sierra,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
240,Zona 03,"14,001,242","182,813",Infraestructura y Gestión de Tránsito,Misionalidad,14,Martires,SANTA ISABEL,SANTA ISABEL SUR,CL 1A,KR 29C,AK 30,"10,672",666,"7,107,552","2,01812E+13",24,0,0,MVL,Cambio de Carpeta,Mantenimiento,Wed Feb 06 00:00:00 COT 2019,Sat Feb 16 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Karen Zarate,Ing. Gustavo Velandia/Nelson Duitama
241,Zona 01,"11,008,251","168,906",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,EL PRADO,PRADO PINZON,CL 141,KR 45,KR 46,885,68,"6,018","2,01812E+13",2,0,0,MVL,Cambio de Carpeta,Mantenimiento,Wed Feb 13 00:00:00 COT 2019,Sat Feb 16 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Jeferson Carpio,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
242,Zona 02,"12,000,518","178,563",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ANDES,LA CASTELLANA,KR 47A,CL 91,CL 93,"18,962",705,"1,336,821","2,01912E+13",45,0,0,MVL,Parcheo,Mantenimiento,Mon Feb 18 00:00:00 COT 2019,Mon Feb 18 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
243,Zona 02,"12,001,753","179,447",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,DOCE DE OCTUBRE,CL 71A,KR 50,KR 51,"6,739",822,"5,539,458","2,01912E+13",18,0,0,MVL,Parcheo,Mantenimiento,Thu Feb 14 00:00:00 COT 2019,Mon Feb 18 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
244,Zona 02,"12,001,531","179,567",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,DOCE DE OCTUBRE,CL 74,AK 30,KR 50,"3,819","1,075","4,105,425","2,01912E+13",14,0,0,CML,Parcheo,Mantenimiento,Mon Feb 18 00:00:00 COT 2019,Mon Feb 18 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
245,Zona 03,"14,001,735","513,113",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,14,Martires,LA SABANA,PALOQUEMAO,AK 27,AC 22,CL 22A,"21,261","1,154","24,535,194",Grupo Sigma,7,0,"291,882,857",MVA,Parcheo,Mantenimiento,Fri Feb 08 00:00:00 COT 2019,Mon Feb 18 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
246,Zona 02,"2,002,299","91,026,306",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,2,Chapinero,CHICO LAGO,CHICO NORTE III SECTOR,AK 45,S.E,DG 92,"3,387",76,"257,412",Grupo Sigma,7,0,"65,497,143",MVA,Parcheo,Mantenimiento,Fri Feb 15 00:00:00 COT 2019,Mon Feb 18 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
247,Zona 04,"4,000,131","200,364",Infraestructura y Gestión de Tránsito,Misionalidad,4,San Cristobal,SOSIEGO,NARINO SUR,CL 8 S,KR 8,KR 8A,"5,146",85,"43,741","2,01812E+13",15,0,0,CML,Cambio de Carpeta Parcial,Mantenimiento,Fri Feb 08 00:00:00 COT 2019,Tue Feb 19 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Laura Huertas,Ing. Manuel Avila/Ing.Samuel Sanchez
248,Zona 04,"4,000,114","200,317",Infraestructura y Gestión de Tránsito,Misionalidad,4,San Cristobal,SOSIEGO,NARINO SUR,CL 8 S,KR 8A,KR 8B,537,855,"459,135","2,01812E+13",15,0,0,CML,Cambio de Carpeta,Mantenimiento,Mon Feb 11 00:00:00 COT 2019,Tue Feb 19 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Laura Huertas,Ing. Manuel Avila/Ing.Samuel Sanchez
249,Zona 04,"4,007,651","91,022,495",Infraestructura y Gestión de Tránsito,Misionalidad,4,San Cristobal,SOSIEGO,NARINO SUR,CL 8 S,KR 8A,KR 8B,"2,164",849,"1,837,236","2,01812E+13",6,0,0,CML,Cambio de Carpeta,Mantenimiento,Sat Feb 09 00:00:00 COT 2019,Tue Feb 19 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Laura Huertas,Ing. Manuel Avila/Ing.Samuel Sanchez
250,Zona 04,"19,007,523","454,919",Infraestructura y Gestión de Tránsito,Misionalidad,19,Ciudad Bolivar,LUCERO,MEXICO,CL 63SUR,KR 16A BIS,KR 16 B,"3,363",531,"1,785,753","2,01701E+13",6,0,0,MVL,Cambio de Losas,Mantenimiento,Fri Feb 01 00:00:00 COT 2019,Tue Feb 19 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Losas,Laura Huertas,Ing. Manuel Avila/Ing. Ramiro Robles
251,Zona 01,"11,008,167","168,847",Infraestructura y Gestión de Tránsito,Misionalidad,11,Suba,EL PRADO,PRADO PINZON,KR 47,CL 141,CL 143,891,657,"585,387","2,01812E+13",2,0,0,MVL,Cambio de Carpeta,Mantenimiento,Mon Feb 18 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Carpeta,Jeferson Carpio,Ing. Rafael Perez/Ing. Cesar Diego Ortiz
252,Zona 02,"12,002,061","179,365",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ALCAZARES,LA MERCED NORTE,CL 70,KR 29A,KR 29,"5,313",791,"4,202,583","2,01912E+13",14,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Thu Feb 14 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
253,Zona 02,"12,002,526","179,069",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ALCAZARES,QUINTA MUTIS,CL 63DBIS,KR 27,KR 27,"2,962",711,"2,105,982","2,01912E+13",7,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Thu Feb 14 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
254,Zona 02,"12,002,538","179,068",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ALCAZARES,QUINTA MUTIS,CL 63 DBIS,KR 25 BIS,KR 27,"9,384",704,"6,606,336","2,01912E+13",22,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Mon Feb 11 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
255,Zona 02,"12,001,539","179,451",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,DOCE DE OCTUBRE,SAN FERNANDO,CL 70C,KR 55,KR 56B,"6,803",802,"5,456,006","2,01912E+13",18,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Tue Feb 12 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
256,Zona 02,"10,007,040","159,854",Infraestructura y Gestión de Tránsito,Misionalidad,10,Engativa,BOYACA REAL,FLORIDA BLANCA,CL 68,KR 88,KR 89,825,648,"5,346","2,01812E+13",18,0,0,MVL,Cambio de Losas,Mantenimiento,Sat Jan 26 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Cambio de Losas,Laura Huertas,Ing. Manuel Avila/Ing. Ramiro Robles
257,Zona 01,"1,007,188","91,019,494",Infraestructura y Gestión de Tránsito,IMV-PR-003,1,Usaquen,SANTA BARBARA,SANTA BARBARA OCCIDENTAL,KR 20,CL 125BIS,AC 127,"3,841","1,053","4,044,573",Grupo Sigma,13,0,0,CML,Parcheo,Mantenimiento,Wed Feb 20 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
258,Zona 03,"14,000,070","513,131",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,14,Martires,LA SABANA,SAMPER MENDOZA,AK 27,CL 22B,CL 22C,"10,579","1,119","11,837,901",Grupo Sigma,34,0,"279,228,571",MVA,Parcheo,Mantenimiento,Thu Feb 07 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
259,Zona 03,"14,000,165","24,120,978",Situaciones Imprevistas y Apoyo Interinstitucional,IMV-PR-003,14,Martires,LA SABANA,PALOQUEMAO,AK 27,AC 19,AC22,258,985,"25,413",Grupo Sigma,73,0,"13,542,857",MVA,Parcheo,Mantenimiento,Wed Feb 20 00:00:00 COT 2019,Wed Feb 20 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Ximena Vargas,Ing. Manuel Avila/Ing. Angel Ricardo Ibagon
260,Zona 02,"12,001,344","523,349",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ALCAZARES,SANTA SOFIA,KR 28A,CL 79,AC 80,"8,374",879,"7,360,746","2,01912E+13",25,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Fri Feb 15 00:00:00 COT 2019,Thu Feb 21 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
261,Zona 02,"12,000,403","178,430",Infraestructura y Gestión de Tránsito,Misionalidad,12,Barrios Unidos,LOS ANDES,LA CASTELLANA,KR 49C,CL 93,CL 94,"10,659",76,"810,084","2,01912E+13",27,0,0,MVL,Parcheo/Sello Fisuras,Mantenimiento,Mon Feb 18 00:00:00 COT 2019,Thu Feb 21 00:00:00 COT 2019,Terminado,Febrero,0,0,Parcheo,Cesar Pinto,Ing. Manuel Avila/Ing. Wilmer Suarez
